DT,distance(Km),heart,pace
2016-08-29 21:10:00,0.54,120,8:27
2016-09-01 21:39:00,0.82,120,5:49
2016-10-10 21:00:00,0.49,120,6:58
2016-10-12 20:59:00,0.46,120,6:14
2016-10-14 21:02:00,0.95,120,9:23
2016-10-15 20:52:00,1.14,120,33:43
2016-10-16 21:19:00,0.44,120,6:54
2016-11-20 18:57:00,0.37,120,5:41
2017-02-05 17:03:00,1.17,120,10:08
2017-02-11 20:14:00,1.38,120,8:18
2017-02-13 21:52:00,1.27,120,5:54
2017-02-14 22:00:00,0.11,120,11:13
2017-02-15 21:51:00,2.06,120,5:47
2017-02-18 20:16:00,2.31,120,6:11
2017-02-25 22:11:00,1.62,120,5:59
2017-03-02 21:59:00,2.56,120,6:24
2017-03-14 22:21:00,1.22,120,6:45
2017-03-16 19:53:00,1.60,120,7:54
2017-04-20 22:04:00,1.40,120,6:07
2017-04-21 21:41:00,2.47,120,5:54
2017-04-30 20:38:00,1.25,120,6:46
2017-05-18 21:09:00,1.42,120,6:22
2017-05-28 17:58:00,0.73,120,12:28
2017-05-30 20:15:00,1.67,120,8:55
2017-06-23 20:09:00,3.00,120,8:50
2017-06-24 20:36:00,4.54,120,8:35
2017-06-26 20:12:00,3.69,120,7:42
2017-07-06 20:34:00,2.63,120,6:33
2017-07-10 21:08:00,2.57,120,7:48
2017-07-21 21:00:00,2.72,120,7:21
2017-07-30 21:47:00,2.20,120,6:50
2017-08-29 19:21:00,1.30,120,6:32
2017-09-01 21:16:00,1.27,120,6:34
2017-09-20 19:54:00,1.20,120,6:35
2017-10-09 21:46:00,1.33,120,6:32
2017-10-10 21:59:00,2.94,120,7:00
2018-03-12 19:45:00,1.10,120,8:45
2018-04-09 21:13:00,2.06,120,8:35
2018-04-10 20:08:00,3.56,120,8:55
2018-04-12 21:22:00,2.92,120,9:38
2018-04-15 20:21:00,0.52,120,6:55
2018-04-27 20:43:00,2.64,120,8:47
2018-04-29 20:42:00,0.59,120,7:51
2018-05-03 19:24:00,1.73,120,12:49
2018-05-23 21:06:00,0.91,120,6:18
2018-05-26 21:03:00,1.03,120,7:06
